azimuth_deg,horizon_angle_deg,horizon_distance_m,horizon_elevation_m
58.900000000000006,8.614169168088678,4830.0,1336.2099609375
59.0,8.581206822747891,4825.0,1332.6099853515625
59.1,8.550900498364824,4835.0,1331.510009765625
59.2,8.508438477972572,4850.0,1330.0999755859375
59.300000000000004,8.468775443943588,4845.0,1325.9200439453125
59.400000000000006,8.432455969110759,4855.0,1324.27001953125
59.5,8.38152345550463,4850.0,1319.1199951171875
59.6,8.3438682102336,4870.0,1318.81005859375
59.7,8.310307709965556,4875.0,1316.6300048828125
59.800000000000004,8.271866960294895,4880.0,1314.02001953125
59.900000000000006,8.243288698391451,4890.0,1312.989990234375
60.0,8.221646357732725,4895.0,1311.8299560546875
60.1,8.20050444382107,4900.0,1310.7099609375
60.2,8.177229527140126,4905.0,1309.4000244140625
60.300000000000004,8.154112326164453,4910.0,1308.0999755859375
60.400000000000006,8.138103181651132,4910.0,1306.699951171875
60.5,8.106946077415085,4905.0,1303.260009765625
60.6,8.070395329532513,4910.0,1300.780029296875
60.7,8.031169296865295,4915.0,1298.06005859375
60.800000000000004,7.967987722150263,4910.0,1291.8299560546875
60.900000000000006,7.923453118203282,4905.0,1287.239990234375
61.0,7.885797158087685,4910.0,1284.6500244140625
61.1,7.8372622951071165,4905.0,1279.719970703125
61.2,7.769489020191253,4915.0,1275.1800537109375
61.300000000000004,7.71581697324147,4910.0,1269.81005859375
61.400000000000006,7.666181144758299,4895.0,1263.449951171875
61.5,7.6104001954288165,4900.0,1259.27001953125
61.6,7.544857836035118,4895.0,1252.9000244140625
61.7,7.478123805096271,4890.0,1246.43994140625
61.800000000000004,7.385365796518959,4895.0,1239.0400390625
61.900000000000006,7.293521820553507,4890.0,1230.4200439453125
62.0,7.218421571315372,4885.0,1223.27001953125
